Ensino Básico;Ensino Superior;Curso de Idiomas;Edução Profissional Técnico;Curso Preparatório;Curso Livre
"COLÉGIO DA IMACULADA CONCEIÇÃO CNPJ:12.315.719/0001-09
Av. Dr. Antonio Gouveia, nº507, Pajuçara, Maceió - AL CEP 57030 - 170 Tel:(82) 3231- 3838/3311-7796
secretariacic@hotmail.com
Desconto:25%";"ASSOCIAÇÃO DE DESENVOLVIMENTO EDUCACIONAL - ADEA CNPJ:07.991.012/0001- 74
Av. Sandoval Arroxelas, nº 129, Bairro Ponta Verde, Cidade de Maceió - AL. CEP 57035 - 230 Tel:(82) 3036 - 2299
Desconto:15%";"MAN CURSO DE IDIOMAS LTDA CNPJ:11.880.414/0001 - 79
Av. Jornalista Humberto Calderaro Filho n11 conjunto Abilio Nery, Adrianópolis(92)
Telefone:(92)3236 - 9820/ 3342 - 5100
www.uptime.com.br Desconto:10%";"IADBRASIL - Instituto Águia Dourada - Escola Profissional de Petróleo CNPJ:03.403.903/0001-01
Av. ACM, nº2487, Ed. Fernandez Plaza, 11º andar, sala 1112, Salvador – BA CEP 41800-700 Telefone:(71) 3358-0661/3495-4349/4101-3602
www.institutoaguiadourada.com.br/ www.iadbrasil.com institutoaguiadourada@hotmail.com
Desconto: 20%";"CURSO PREPARATÓRIO REGGIARDO CURSOS PREPARATÓRIOS LTDA CNPJ:15.633.754/0002-37
Travessa Quatorze de março, nº341, Bairro Telégrafo Sem Fio, Belém - PA. CEP 66113-300 Desconto:10 a 20%, conforme o curso";"CEEBE – MÉTODO SUPERA
CNPJ:13.866.591/0001-26
Rua José Veríssimo, 63, Méier, Rio de Janeiro - RJTel:(21) 3176-3190/3176-3195 meier@metodosupera.com.brDesconto: 20% MENS."
"COLÉGIO E CURSO CONTATO CNPJ:69.997.096/0001- 00
Rua Prof. Silvio de Macedo, nº125, Jatiúca, Maceió - AL. CEP 57036 - 740 Tel:(82) 4009 - 5656
www.contatomaceio.com.br
Desconto:15%";"NILTON LINS - CENTRO DE ENSINO SUPERIOR CNPJ:04.803.904/0001 - 06
Av. Professor Nilton Lins 3259 Cep 69.058 - 030
Telefone:(92) 3643 - 2000 www.niltonlins.br Desconto:20%";"MEL IDIOMAS CNPJ:10.441.980/0001- 11
Rua Carlos Lecor, n 968, Conjunto Castelo Branco, Parque Dez Telefone:(92) 3642 - 0092
www.alpsmanaus.com.br luciete@alpsmanaus.com.br Desconto:20%";"INSTITUTO FORMAÇÃO PARA A EDUCAÇÃO - POSEAD CNPJ: 09.110.734/0001-06
SGAS Qd. 607, Conj. B Ed Metrópolis, Sala 04, Térreo, Asa Sul -Brasília-DF. CEP 70200-670 Tel:(61) 3218-8321/3218-8342
Desconto:33,33% PARA CURSOS DE EDUCAÇÃO, EAD E SAÚDE.
Para outros cursos , de 29,19% a 32,20%";"CURSO PERSPECTIVA LTDA. - GPI
Rua Padre Manso, 202 – Madureira - Rio de Janeiro – RJ, CEP 21310 260CNPJ º 33.027.284/0001-21 Tel:Fax (21) 3443 0000
Desconto:30% na mensalidade Cursos de Ed. Infantil, Ens. Fund. I e II, Médio, Cursos Pré-Vestibular e Preparatórios para Concursos nas unidades(MADUREIRA, TIJUCA, SAENS PEÑA, BARRA)";
"CONGREGAÇÃO DE SANTA DOROTÉIA DO BRASIL CNPJ:10.847.747/0039 - 06
Av Joaquim Nabuco , 1097 Centro - Telefone:(92) 3232 - 4108 www.santadoroteia.com
contato@santadoroteia.com
Desconto:20% ed. Infantil, 25% ed. fundamental e médio";"ABES - ASSOCIAÇÃO BAIANA DE ENSINO SUPERIOR CNPJ:32.697.294/0001-49
Av. Tamburugy, nº 88, Palmares -Salvador-BA. CEP 41680-440 Telefone:(71) 3505-4500
Desconto:20% GRADUAÇÃO E PÓS";"SKILL IDIOMAS - EGSA IDIOMAS LTDA - EPP CNPJ:12.949.212/0001-07
Av São jorge , 02, Bairro São Jorge, CEP 69.033-000 Telefone:(92)3625-5132 /8414-5396
www.skillidiomas.com Desconto:10%";"INSTITUTO DA CONSTRUÇÃO FORMAÇÃO PROFISSIONAL -SHH FORMAÇÃO PROFISSIONAL DA CONSTRU\ÇÃO CIVIL LTDA.
CNPJ:16.106.174/0001-73
Rua Dom José Lourenço, nº70 -Parquelândia, Fortaleza -CE. CEP: 60.450-245
Tel:(85) 3034-2545
www.estudenoic.com.br fortaleza.saogerardo@institutodaconstrucao.com.br DESC variam de 32% a 10%, dependendo do curso.";"CENTRO EDUCACIONAL LOGOS
CNPJ:32.003.618/0001-00
Rua Mirim 35, Centro, Nova Iguaçu-RJ. CEP 26215-560Tel:(21) 2667-2777
logostes@gmail.com Desconto: 30% + 5% IRMÃO";
"CENTRO LITERATUS - Centro de Assistência ao Desenvolvimento da Criança Ltda. CNPJ: 63.677.827/0001- 54
Av. Jornalista Humber to Calderaro Filho, 965 – Adrianópolis - Manaus – AM CEP 69057- 015 Telefone:(92) 3611-1311/3305 - 2264
www.literatus.edu.br gerente.adm@literatus.edu.br/fiscal@literatus.edu.br Desconto:10% DESC";"3W EDUCACIONAL EDITORA CURSOS S.A CNPJ:14.019.108/0001-30
SBS Qd. 02 Bl. E nº12 sala 206, Sobreloja parte U. CEP 70070-120 Tel:(61) 3218-8310
www.educacional.com.br
Desconto:49,05 % À 54,10%";"ALIANÇA FRANCESA -ASSOCIAÇÃO CULTURAL FRANCO BRASILEIRA CNPJ:13.576.442/0001-22
Avenida Sete de Setembro nº 401, Ladeira da Barra, Salvador-BA Telefone:(71) 3336-7599
www.afbahia.com.br dirgeral@afbahia.com.br Desconto: 10%";"COLÉGIO MEIRA LIMA - União Comunitária de Educação e Cultura
CNPJ:30.285.928/0012-83
Rua Richard Strauss, 52 Jardim América-RJ. CEP 21240-110Tel:(21) 3346-5577
www.colegioateneu.com.brDesconto: 20%";"MULTIPLUS CAPACITAÇÃO - MULTIPLUS CURSOS E CONCURSOS LTDA.
CNPJ:08.658.639/0001-70
Av. Calógeras, nº 6B, Castelo -RJ. CEP 20030-070Tel:(21) 3550-4610 www.cursomultiplus.com.br financeiro@cursosmultiplus.com.br Desconto: 30%";
"COLÉGIO SANTÍSSIMO SACRAMENTO CNPJ:15.145.089/0001-51
Av. Leovigildo Filgueiras 211 Garcia Desconto:10% a 15% DESC";"CESB - CENTRO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA
CNPJ:00.422.333/0001-09
SGAN, QD 609, Conj D, Av L-2 Norte, Brasília-DF. CEP 70850-090 Tel:(61) 3448-9812
www.iesb.br
Desconto:20% MENS.";"CENTRO CULTURAL ANGLO AMERICANO -CCAA CNPJ:00.586.479/0001-90
SHCS CR Qd 506, Bloco A nº 61, Loja 67, Brasília-DF. CEP 70350-515 Tel:(61) 3443-6265/3242-7819
www.ccaa.com.br/brasiliaasasul Desconto:
40% DE DESC NA PRIMEIRA MENSALIDADE E 20% NAS DEMAIS";"CBP - CURSOS DE INFORMÁTICA
CNPJ: 10.813.162/0001-00
Praça Mauá 13, 2º andar, Centro-RJ. CEP 20081-240Tel:(21) 2233-7761 www.trainertek.com.br
Desconto:50% DESC + R$ 30,00 DE PONTUALIDADE";"INSTITUTO ISABEL
CNPJ:33.529.972/0001-32
Rua Mariz e Barros, 612 - Tijuca.Telefone:(21) 25671185 Desconto:10% MENS";
"COLÉGIO SANTA CECÍLIA - ESCOLA DE EDUCAÇÃO INFANTIL LTDA. CNPJ:15.255.201/0001-07
Rua Florianópolis, nº70, Barra, Salvador -BA CEP 40.140-320 Telefone:(71) 3264-5281/ (71) 3264-5484 / (71) 3264-9106
colegiostacecilia@colegiostacecilia.com.br Desconto:10%";"INSTITUTO S E FRANCISCANO NOSSA SENHORA DE FÁTIMA CNPJ:95.606.380/0001-19
SGAS Qd 906 Conj F Asa Sul, Brasília-DF. CEP 70390-060 Tel:(61) 3442-8650
www.institutofatima.edu.br
Desconto: 25% P/ MARINHA, 20% AERONÁUTICA E EXÉRCITO, 25% DEPENDENTES";"SUDOESTE IDIOMAS LTDA CNPJ:05.575.094/0001-40
CLSW 105, Bloco C, Loja 114 -Brasília-DF. CEP 70670-433
Tel:(61) 3964-2672
Desconto: 20%";"DREAM UP IDIOMAS E INFORMÁTICA
CNPJ:04.497.524/0001-90
Rua Nicarágua nº 512, Penha-RJ CEP 21020-050 Tel: (21) 3887-4707
www.dreamup.lcom.br contato@dreamup.com.b Desconto: 30%";"SBQ ASSESSORIA DIDÁTICA E PEDAGÓGICA LTDA
CNPJ:03.116.549/0002-15
Rua Mathias Velho, 185, Centro cep 92310-300 Tel:(51) 30593909
precanoas@unificado.com.br Desconto:10%";
"CENTRO ESCOLAR AQUARIUS LTDA. - ANCHIETINHA AQUARIUS. CNPJ:08.517.894/0001-01
Rua Clara Nunes, nº203, Lotemento Aquarius, Pituba, Salvador/BA. CEP 41810-425 Desconto:10%";"ASSOCIAÇÃO DE ENSINO SUPERIOR DO CENTRO-OESTE -AESCO CNPJ:03.383.280/0001-52
CSG 09, Lote 15/16 - 2º andar, Taguatinga-DF. CEP 72035-509 Tel:(61) 3037-5858
Desconto:15% EM CURSOS DE PÓS-GRADUAÇÃO";"CNA FÁTIMA - MACEDO RIBEIRO LINGUAS CNPJ:19.235.154/0001-90
Rua Dom Sebastião Lemes, nº1065, Fátima, Fortaleza -CE CEP 60050-160 Tel:(85) 3393-7000/8000
www.cna.com.br/ffatima fatima@cna.com.br Desconto:25% DESC";"ÂNGULO CURSOS PROFISSIONALIZANTES
CNPJ:07.596.511/0001-67
Rua Cônego Thomaz Fontes, 226, Centro Itajaí-SC. CEP 88301-100Tel:(47) 3045-7709 Desconto:40%";"SÉRGIO LUIZ CRUZ INFORMÁTICA- CURSO PREPARATÓRIO UNIFICADO
CNPJ:95.208.385/0001-93
Rua Anfilófio Dias Marques, nº 296, Sala 01, Centro- Osório-RS. CEP 95520-000 Tel:(51) 3663-1468
icone_icone@brturbo.com.br
Desconto:25%";
"COLÉGIO ANCHIETA - Empreendimento Educacional Anchieta Ltda CNPJ:14.799.209/0001-71
Praça Padre Anchieta, nº 126 Pituba, Salvador -BA CEP 41810-830 Telefone:(71) 2107-9000/ (71) 2107-9027
www.anchietaba.com.br Desconto:10%";"CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL-UNIPLAN CNPJ:01.711.282/0026-56
Av. Pau Brasil S/N, Lote 02-Águas Claras -Brasília-DF CEP 71926-500 Tel:(61) 3435-2200/3435-5646
Desconto:10% CURSOS DA GRADUAÇÃO";"HILPRO IDIOMAS LTDA CNPJ:00.718.458/0001-53
Av. 13 de Maio, 825 -Bairro de Fátima, CEP 60040-530 Tel:(85) 3272-5324
www.hilpro.com.br presidencia@hilpro.com.br Desconto:10% NOS CUR
SOS REGULARES, INTENSIVOS, SUPERINTENSIVOS E ENSINO A DISTÂNCIA.";"LIDERANÇA CURSOS PREPARATÓRIOS PREPARATÓRIOS LTDA
Desconto:15%";;
"COLEGIO ABRAHAN LINCOLN CNPJ:00.700.169/0001-54
Rua Belo Horizonte 253 Jardim Brasil Barra Telefone: (71)3235-3495 3235-3722
www.colegiolincon.com.br colegio.lincoln@hotmail.com.br Desconto:10 a 15%";"FACULDADE DO MEIO AMBIENTE E TECNOLOGIA DE NEGÓCIOS-FAMATEC CNPJ:06.906.245/0001-69
SIA Trecho 02, Lotes 1510/1540, Brasília-DF. CEP 71200-020 Tel:(61) 3433-3000
www.fametro.com.br
Desconto: 40%";"MARIA ELIZABETH PEREIRA DE ARRUDA CNPJ:01.191.075/0001-60
Av. Pontes Vieira, 639, São João do Tauape, Fortaleza-CE. CEP 60130-240 Tel:(85) 3272-1433
www.institutopoliglota.com.br falecom@institutopoliglota.com.br
Desconto:10% PARA TODOS OS CURSOS NO PERÍODO DA NOITE E 20% NAS MANHÃS E TARDES";"CENTRO DE ENSINO TECNOLÓGICO - CETESC
CNPJ:06.173.460/0002-89
Rua Felipe Schimidt, 480, Centro, Itajaí-SC. CEP 88041-301Tel:(47) 3346-3300
Desconto:15%";;
"SARTRE COC - SARTRE EMPREENDIMENTOS EDUCACIONAIS LTDA CNPJ:15.236.367/0001-86
Rua da Graça, nº 95, Bairro da Graça CEP 40120-411 www.seboc.com.br/sartre
Desconto:10% matutino e 25% vespertino";"FACULDADE EVANGÉLICA DE BRASÍLIA CNPJ:00.078.733/0001-49
SGAS 905, Conj. D W5 Sul, Brasília-DF Desconto:10%";"CURSO DE LINGUAS CNA MONTESE - CHRISTIANO MENEZES DE SOUZA –ME CNPJ:01.771.726/0001-90
Rua Armando Monteiro, 485, Fortaleza Tel:(85) 3463-9944
supervisaomo@cnafortaleza.com.br Desconto:20% DESC";"ORGANIZAÇÃO GUARÁ DE ENSINO
CNPJ:45.207.487/0001-16
Av. Pedro de Toledo, 195 - VI. Paraíba Guaratinguetá-SP. CEP 12515-690Tel:(12) 3123-3123 www.oge.edu.br
Desconto:10%";;
